Age,Education Level,Occupation,Interest,Experience,Learning Style,Time Commitment,Preferred Resources,Recommended Skill
26,PhD,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
27,PhD,Working Professional,Blockchain,Advanced,Reading/Writing,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
27,PhD,Working Professional,Blockchain,Intermediate,Reading/Writing,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
27,PhD,Working Professional,Blockchain,Advanced,Auditory,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
27,PhD,Working Professional,Blockchain,Beginner,Kinesthetic,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Intermediate,Auditory,>10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Intermediate,Visual,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Beginner,Visual,5-10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Advanced,Visual,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Intermediate,Auditory,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
28,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
29,PhD,Working Professional,Blockchain,Intermediate,Kinesthetic,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
29,PhD,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
29,PhD,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
29,PhD,Working Professional,Blockchain,Beginner,Reading/Writing,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
30,PhD,Working Professional,Blockchain,Intermediate,Auditory,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
31,PhD,Working Professional,Blockchain,Advanced,Visual,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
33,PhD,Working Professional,Blockchain,Intermediate,Auditory,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
33,PhD,Working Professional,Blockchain,Intermediate,Reading/Writing,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
33,PhD,Working Professional,Blockchain,Intermediate,Kinesthetic,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
33,PhD,Working Professional,Blockchain,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
33,PhD,Working Professional,Blockchain,Advanced,Reading/Writing,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
34,PhD,Working Professional,Blockchain,Advanced,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
34,PhD,Working Professional,Blockchain,Advanced,Reading/Writing,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
35,PhD,Working Professional,Blockchain,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
36,PhD,Working Professional,Blockchain,Beginner,Visual,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
37,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
37,PhD,Working Professional,Blockchain,Advanced,Auditory,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
37,PhD,Working Professional,Blockchain,Intermediate,Auditory,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
38,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
38,PhD,Working Professional,Blockchain,Intermediate,Reading/Writing,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
38,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
38,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
38,PhD,Working Professional,Blockchain,Beginner,Kinesthetic,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
39,PhD,Working Professional,Blockchain,Intermediate,Visual,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
39,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
22,PhD,Job Seeker,Networking,Advanced,Reading/Writing,>10 hrs/week,Paid,Advanced Cybersecurity Research
22,PhD,Job Seeker,Networking,Beginner,Visual,>10 hrs/week,Paid,Advanced Cybersecurity Research
23,PhD,Job Seeker,Networking,Advanced,Reading/Writing,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
23,PhD,Job Seeker,Networking,Advanced,Auditory,<5 hrs/week,Paid,Advanced Cybersecurity Research
23,PhD,Job Seeker,Networking,Intermediate,Auditory,>10 hrs/week,Free,Advanced Cybersecurity Research
23,PhD,Job Seeker,Networking,Advanced,Reading/Writing,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
23,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
24,PhD,Job Seeker,Networking,Beginner,Auditory,5-10 hrs/week,Paid,Advanced Cybersecurity Research
24,PhD,Job Seeker,Networking,Beginner,Auditory,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
24,PhD,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
24,PhD,Job Seeker,Networking,Beginner,Visual,>10 hrs/week,Paid,Advanced Cybersecurity Research
25,PhD,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
25,PhD,Job Seeker,Networking,Beginner,Visual,5-10 hrs/week,Paid,Advanced Cybersecurity Research
25,PhD,Job Seeker,Networking,Beginner,Visual,<5 hrs/week,Free,Advanced Cybersecurity Research
26,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,>10 hrs/week,Paid,Advanced Cybersecurity Research
27,PhD,Job Seeker,Networking,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
27,PhD,Job Seeker,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,Advanced Cybersecurity Research
27,PhD,Job Seeker,Networking,Beginner,Reading/Writing,5-10 hrs/week,Paid,Advanced Cybersecurity Research
27,PhD,Job Seeker,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,Advanced Cybersecurity Research
27,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Beginner,Auditory,<5 hrs/week,Paid,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Advanced,Reading/Writing,5-10 hrs/week,Free,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Advanced,Kinesthetic,>10 hrs/week,Paid,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Intermediate,Visual,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
28,PhD,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
29,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Paid,Advanced Cybersecurity Research
29,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,<5 hrs/week,Paid,Advanced Cybersecurity Research
29,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
29,PhD,Job Seeker,Networking,Intermediate,Visual,<5 hrs/week,Paid,Advanced Cybersecurity Research
30,PhD,Job Seeker,Networking,Advanced,Reading/Writing,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
30,PhD,Job Seeker,Networking,Beginner,Visual,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
30,PhD,Job Seeker,Networking,Intermediate,Visual,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
30,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Free,Advanced Cybersecurity Research
31,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
31,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
32,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,<5 hrs/week,Paid,Advanced Cybersecurity Research
32,PhD,Job Seeker,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
32,PhD,Job Seeker,Networking,Beginner,Reading/Writing,>10 hrs/week,Free,Advanced Cybersecurity Research
32,PhD,Job Seeker,Networking,Intermediate,Auditory,>10 hrs/week,Paid,Advanced Cybersecurity Research
33,PhD,Job Seeker,Networking,Intermediate,Visual,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
33,PhD,Job Seeker,Networking,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
33,PhD,Job Seeker,Networking,Advanced,Visual,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
33,PhD,Job Seeker,Networking,Intermediate,Visual,<5 hrs/week,Free,Advanced Cybersecurity Research
33,PhD,Job Seeker,Networking,Advanced,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
34,PhD,Job Seeker,Networking,Beginner,Visual,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
35,PhD,Job Seeker,Networking,Advanced,Kinesthetic,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
35,PhD,Job Seeker,Networking,Beginner,Reading/Writing,5-10 hrs/week,Paid,Advanced Cybersecurity Research
36,PhD,Job Seeker,Networking,Advanced,Auditory,>10 hrs/week,Paid,Advanced Cybersecurity Research
36,PhD,Job Seeker,Networking,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
36,PhD,Job Seeker,Networking,Beginner,Auditory,5-10 hrs/week,Paid,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Advanced,Reading/Writing,<5 hrs/week,Free,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Free,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,>10 hrs/week,Paid,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,<5 hrs/week,Free,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Kinesthetic,>10 hrs/week,Free & Paid,Advanced Cybersecurity Research
37,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Paid,Advanced Cybersecurity Research
38,PhD,Job Seeker,Networking,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,Advanced Cybersecurity Research
38,PhD,Job Seeker,Networking,Beginner,Auditory,<5 hrs/week,Free & Paid,Advanced Cybersecurity Research
38,PhD,Job Seeker,Networking,Beginner,Auditory,<5 hrs/week,Free,Advanced Cybersecurity Research
39,PhD,Job Seeker,Networking,Beginner,Auditory,5-10 hrs/week,Free,Advanced Cybersecurity Research
39,PhD,Job Seeker,Networking,Advanced,Visual,>10 hrs/week,Paid,Advanced Cybersecurity Research
39,PhD,Job Seeker,Networking,Advanced,Visual,>10 hrs/week,Free,Advanced Cybersecurity Research
39,PhD,Job Seeker,Networking,Intermediate,Reading/Writing,>10 hrs/week,Paid,Advanced Cybersecurity Research
16,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Visual,>10 hrs/week,Free,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Reading/Writing,>10 hrs/week,Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free,"Advanced Routing, Network Security"
16,Bachelor's,Student,Networking,Beginner,Reading/Writing,5-10 hrs/week,Free,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Visual,5-10 hrs/week,Free,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Auditory,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Reading/Writing,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
17,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Visual,>10 hrs/week,Paid,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Reading/Writing,>10 hrs/week,Free,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
18,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Reading/Writing,>10 hrs/week,Free,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Free,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Free,"Advanced Routing, Network Security"
19,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Reading/Writing,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Reading/Writing,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Kinesthetic,>10 hrs/week,Paid,"Advanced Routing, Network Security"
20,Bachelor's,Student,Networking,Beginner,Reading/Writing,<5 hrs/week,Paid,"Advanced Routing, Network Security"
21,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
21,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
21,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
22,Bachelor's,Student,Networking,Advanced,Reading/Writing,<5 hrs/week,Free,"Advanced Routing, Network Security"
23,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
23,Bachelor's,Student,Networking,Intermediate,Reading/Writing,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
23,Bachelor's,Student,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
23,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
24,Bachelor's,Student,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
24,Bachelor's,Student,Networking,Advanced,Visual,>10 hrs/week,Free,"Advanced Routing, Network Security"
24,Bachelor's,Student,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free,"Advanced Routing, Network Security"
26,Bachelor's,Student,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
26,Bachelor's,Student,Networking,Beginner,Reading/Writing,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
27,Bachelor's,Student,Networking,Advanced,Visual,>10 hrs/week,Paid,"Advanced Routing, Network Security"
28,Bachelor's,Student,Networking,Advanced,Visual,5-10 hrs/week,Free,"Advanced Routing, Network Security"
28,Bachelor's,Student,Networking,Advanced,Reading/Writing,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
28,Bachelor's,Student,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
28,Bachelor's,Student,Networking,Beginner,Auditory,>10 hrs/week,Free,"Advanced Routing, Network Security"
28,Bachelor's,Student,Networking,Intermediate,Visual,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
29,Bachelor's,Student,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
29,Bachelor's,Student,Networking,Advanced,Auditory,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
29,Bachelor's,Student,Networking,Intermediate,Reading/Writing,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
29,Bachelor's,Student,Networking,Advanced,Auditory,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
29,Bachelor's,Student,Networking,Advanced,Auditory,>10 hrs/week,Free,"Advanced Routing, Network Security"
30,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
30,Bachelor's,Student,Networking,Intermediate,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Free,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Advanced,Reading/Writing,5-10 hrs/week,Free,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
31,Bachelor's,Student,Networking,Intermediate,Auditory,<5 hrs/week,Free,"Advanced Routing, Network Security"
32,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Paid,"Advanced Routing, Network Security"
32,Bachelor's,Student,Networking,Advanced,Visual,>10 hrs/week,Paid,"Advanced Routing, Network Security"
33,Bachelor's,Student,Networking,Beginner,Visual,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
33,Bachelor's,Student,Networking,Advanced,Visual,>10 hrs/week,Paid,"Advanced Routing, Network Security"
34,Bachelor's,Student,Networking,Intermediate,Kinesthetic,5-10 hrs/week,Free,"Advanced Routing, Network Security"
34,Bachelor's,Student,Networking,Intermediate,Reading/Writing,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
35,Bachelor's,Student,Networking,Intermediate,Auditory,5-10 hrs/week,Free,"Advanced Routing, Network Security"
35,Bachelor's,Student,Networking,Advanced,Reading/Writing,<5 hrs/week,Free,"Advanced Routing, Network Security"
35,Bachelor's,Student,Networking,Intermediate,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
36,Bachelor's,Student,Networking,Advanced,Auditory,>10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
36,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Free,"Advanced Routing, Network Security"
36,Bachelor's,Student,Networking,Advanced,Visual,<5 hrs/week,Paid,"Advanced Routing, Network Security"
37,Bachelor's,Student,Networking,Intermediate,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
37,Bachelor's,Student,Networking,Advanced,Visual,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
37,Bachelor's,Student,Networking,Intermediate,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
37,Bachelor's,Student,Networking,Intermediate,Auditory,>10 hrs/week,Free,"Advanced Routing, Network Security"
37,Bachelor's,Student,Networking,Advanced,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Intermediate,Auditory,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Advanced,Kinesthetic,5-10 hrs/week,Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Beginner,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Beginner,Visual,<5 hrs/week,Paid,"Advanced Routing, Network Security"
38,Bachelor's,Student,Networking,Intermediate,Kinesthetic,<5 hrs/week,Free,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Intermediate,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Advanced,Visual,<5 hrs/week,Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Beginner,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Intermediate,Reading/Writing,<5 hrs/week,Free,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Beginner,Visual,>10 hrs/week,Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Advanced,Kinesthetic,<5 hrs/week,Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Intermediate,Auditory,5-10 hrs/week,Free & Paid,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Advanced,Visual,>10 hrs/week,Free,"Advanced Routing, Network Security"
39,Bachelor's,Student,Networking,Advanced,Auditory,<5 hrs/week,Free & Paid,"Advanced Routing, Network Security"
16,Bachelor's,Working Professional,AI/ML,Beginner,Visual,<5 hrs/week,Free & Paid,"AI for Business, Model Optimization"
16,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,>10 hrs/week,Paid,"AI for Business, Model Optimization"
16,Bachelor's,Working Professional,AI/ML,Beginner,Reading/Writing,5-10 hrs/week,Free,"AI for Business, Model Optimization"
16,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,5-10 hrs/week,Free,"AI for Business, Model Optimization"
16,Bachelor's,Working Professional,AI/ML,Beginner,Kinesthetic,5-10 hrs/week,Free & Paid,"AI for Business, Model Optimization"
17,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,<5 hrs/week,Free,"AI for Business, Model Optimization"
17,Bachelor's,Working Professional,AI/ML,Beginner,Visual,5-10 hrs/week,Free,"AI for Business, Model Optimization"
17,Bachelor's,Working Professional,AI/ML,Beginner,Visual,>10 hrs/week,Free & Paid,"AI for Business, Model Optimization"
17,Bachelor's,Working Professional,AI/ML,Beginner,Kinesthetic,>10 hrs/week,Paid,"AI for Business, Model Optimization"
17,Bachelor's,Working Professional,AI/ML,Beginner,Auditory,5-10 hrs/week,Paid,"AI for Business, Model Optimization"
